date,E_Sagebrush,E_Saltdesert,W_Subalpine,W_Montana,W_Pinyon,W_Sagebrush
2019-05-03 03:00:00,11.88,2.496,6.108,3.563,3.91,4.162
2019-05-03 03:10:00,12.42,3.759,7.194,4.15,2.997,3.745
2019-05-03 03:20:00,10.99,3.813,7.914,3.301,3.022,4.54
2019-05-03 03:30:00,8.55,3.976,7.851,3.242,2.345,6.038
2019-05-03 03:40:00,6.501,4.804,7.143,3.016,2.646,6.797
2019-05-03 03:50:00,7.15,6.873,5.504,3.135,1.896,7.717
2019-05-03 04:00:00,9.38,7.261,5.883,2.477,2.302,8.11
2019-05-03 04:10:00,8.8,11.24,4.955,1.916,2.413,7.993
2019-05-03 04:20:00,9.36,9.96,6.09,2.58,2.037,8.73
2019-05-03 04:30:00,11.61,7.401,5.58,2.088,2.718,8.26
2019-05-03 04:40:00,12.55,9.03,5.378,2.162,2.655,5.431
2019-05-03 04:50:00,11.88,9.4,4.919,3.362,0.926,2.773
2019-05-03 05:00:00,10.7,9.45,5.939,2.185,2.22,0.052
2019-05-03 05:10:00,9.97,9.39,5.838,2.791,1.175,1.161
2019-05-03 05:20:00,8.59,9.77,5.248,2.135,0.163,3.323
2019-05-03 05:30:00,9.15,9.99,4.435,2.347,2.092,6.141
2019-05-03 05:40:00,8.74,9.95,4.022,3.273,1.681,7.061
2019-05-03 05:50:00,8.41,9.76,5.119,3.915,1.788,5.558
2019-05-03 06:00:00,9.02,10.24,6.778,4.852,2.405,2.309
2019-05-03 06:10:00,8.32,10.25,5.011,5.466,5.126,4.823
2019-05-03 06:20:00,8.62,10.01,4.167,5.714,4.854,1.649
2019-05-03 06:30:00,11.16,8.83,5.708,4.454,3.957,1.257
2019-05-03 06:40:00,10.38,6.594,6.839,4.686,3.873,2.63
2019-05-03 06:50:00,6.766,3.55,7.397,4.787,3.542,3.771
2019-05-03 07:00:00,6.13,2.544,6.815,4.357,5.11,4.489
2019-05-03 07:10:00,4.632,4.222,7.205,5.225,3.075,3.292
2019-05-03 07:20:00,2.872,6.354,6.339,3.483,2.959,4.387
2019-05-03 07:30:00,7.452,7.662,5.471,2.039,3.329,4.845
2019-05-03 07:40:00,10.9,8.5,5.264,1.303,5.32,5.355
2019-05-03 07:50:00,12.15,7.098,3.495,2.51,4.477,4.735
2019-05-03 08:00:00,11.89,5.822,1.89,4.403,1.178,3.772
2019-05-03 08:10:00,13.92,7.525,1.935,4.506,2.594,1.683
2019-05-03 08:20:00,14.54,8.17,3.35,4.292,1.915,2.886
2019-05-03 08:30:00,13.11,9.22,2.78,5.019,4.756,2.731
2019-05-03 08:40:00,13.41,7.354,3.066,5.125,4.907,5.065
2019-05-03 08:50:00,13.23,8.94,3.597,4.02,3.012,5.005
2019-05-03 09:00:00,12.23,8.51,4.185,3.863,0.976,5.459
2019-05-03 09:10:00,12.09,6.574,4.251,3.324,1.441,5.728
2019-05-03 09:20:00,12.17,5.159,4.642,0.929,1.222,2.771
2019-05-03 09:30:00,11.2,8.11,4.495,0.467,0.655,3.584
2019-05-03 09:40:00,12.11,8.9,4.896,2.762,1.196,2.451
2019-05-03 09:50:00,11.03,6.2,4.666,2.612,0.532,0.639
2019-05-03 10:00:00,11.49,6.148,5.249,2.31,0.666,1.505
2019-05-03 10:10:00,11.83,6.188,3.953,1.764,1.82,0.243
2019-05-03 10:20:00,11.64,6.886,5.425,1.632,0.667,0.502
2019-05-03 10:30:00,12.08,5.546,4.084,1.757,1.41,1.508
2019-05-03 10:40:00,10.72,2.12,4.41,1.897,0.639,0.99
2019-05-03 10:50:00,10.48,3.01,4.465,1.68,1.374,3.106
2019-05-03 11:00:00,8.33,6.149,3.853,2.264,1.875,1.902
2019-05-03 11:10:00,10.37,6.014,4.435,0.759,3.188,1.612
2019-05-03 11:20:00,10.6,7.05,3.565,2.311,0.674,4.088
2019-05-03 11:30:00,11.97,7.579,3.027,3.212,0.723,2.936
2019-05-03 11:40:00,11.9,6.893,3.182,4.083,1.895,3.859
2019-05-03 11:50:00,12.52,6.833,3.033,4.181,2.818,2.696
2019-05-03 12:00:00,12.75,5.772,2.618,3.912,1.984,2.031
2019-05-03 12:10:00,12.48,7.056,2.299,3.648,1.482,2.347
2019-05-03 12:20:00,12.56,9.14,3.038,3.867,0.316,1.523
2019-05-03 12:30:00,12.38,11.28,3.124,3.61,0.468,0.105
2019-05-03 12:40:00,12.75,7.939,2.96,3.47,2.414,0.731
2019-05-03 12:50:00,12.53,7.881,3.411,2.866,4.058,0.29
2019-05-03 13:00:00,12.31,5.323,4.428,2.877,3.491,0.492
2019-05-03 13:10:00,10.96,4.241,4.135,3.619,3.253,3.14
2019-05-03 13:20:00,11.06,2.606,3.786,5.291,4.023,1.758
2019-05-03 13:30:00,10.17,3.466,3.882,5.168,1.844,1.03
2019-05-03 13:40:00,7.909,6.716,3.264,4.541,2.554,3.765
2019-05-03 13:50:00,5.278,7.186,3.308,5.243,0.909,3.768
